lyric,album_title,year,track_title,track_number,lyric_normalized,lyric_nostop,lyric_lemma
The ticktock of time allows me to see,Nightwish,1996,The Forever Moments,1,the tick tock of time allows me to see,tick tock time allows,tick tock time allow
An authent to an echo,Nightwish,1996,The Forever Moments,1,an athens to an echo,athens echo,athens echo
New butterfly to a cocoon,Nightwish,1996,The Forever Moments,1,new butterfly to a cocoon,new butterfly cocoon,new butterfly cocoon
The swan to ugly duckling,Nightwish,1996,The Forever Moments,1,the swan to ugly duckling,swan ugly duckling,swan ugly duckling
The lake to an ocean,Nightwish,1996,The Forever Moments,1,the lake to an ocean,lake ocean,lake ocean
The deep times awake,Nightwish,1996,The Forever Moments,1,the deep times awake,deep times awake,deep time awake
As I can calm myself to yesterday,Nightwish,1996,The Forever Moments,1,as i can calm myself to yesterday,calm yesterday,calm yesterday
The flower has fallen its petals,Nightwish,1996,The Forever Moments,1,the flower has fallen its petals,flower fallen petals,flower fall petal
Out of the petals a cradle I will,Nightwish,1996,The Forever Moments,1,out of the petals a cradle i will,petals cradle,petal cradle
My cradle rocks with the waves of time,Nightwish,1996,The Forever Moments,1,my cradle rocks with the waves of time,cradle rocks waves time,cradle rock wave time
The time of beauty will never be the same,Nightwish,1996,The Forever Moments,1,the time of beauty will never be the same,time beauty,time beauty
Falling again has no man's knowing,Nightwish,1996,The Forever Moments,1,falling again has no man s knowing,falling man s knowing,fall man s know
"Please take me, take me with thee",Nightwish,1996,The Forever Moments,1,please take me take me with thee,thee,thee
Now I hear my mother from the deep,Nightwish,1996,The Forever Moments,1,now i hear my mother from the deep,hear mother deep,hear mother deep
Sing me a lullaby of eternal sleep,Nightwish,1996,The Forever Moments,1,sing me a lullaby of eternal sleep,sing lullaby eternal sleep,sing lullaby eternal sleep
With thou replant the plaster call,Nightwish,1996,The Forever Moments,1,with thou replant the plaster call,thou replant plaster,thou replant plaster
This and silence we seek to reborn,Nightwish,1996,The Forever Moments,1,this and silence we seek to reborn,silence seek reborn,silence seek reborn
"Oh, setting Sun,",Nightwish,1996,Nightwish,2,oh setting sun,oh setting sun,oh set sun
Thy red rays maketh me cry.,Nightwish,1996,Nightwish,2,thy red rays maketh me cry,thy red rays maketh cry,thy red ray maketh cry
They remind me of the one,Nightwish,1996,Nightwish,2,they remind me of the one,remind,remind
Whose slumber wakes me in the sky.,Nightwish,1996,Nightwish,2,whose slumber wakes me in the sky,slumber wakes sky,slumber wake sky
The bridal bed awaits us both,Nightwish,1996,Nightwish,2,the bridal bed awaits us both,bridal bed awaits,bridal bed await
After the landscape of death I have crossed.,Nightwish,1996,Nightwish,2,after the landscape of death i have crossed,landscape death crossed,landscape death cross
"Before my sorrows I must die,",Nightwish,1996,Nightwish,2,before my sorrows i must die,sorrows die,sorrow die
Nightwish I send through the starlit sky.,Nightwish,1996,Nightwish,2,nightwish i send through the starlit sky,nightwish send starlit sky,nightwish send starlit sky
"The voice of nightly winds has awakened me,",Nightwish,1996,Nightwish,2,the voice of nightly winds has awakened me,voice nightly winds awakened,voice nightly wind awaken
Amidst all the grief they embrace me with relief.,Nightwish,1996,Nightwish,2,amidst all the grief they embrace me with relief,amidst grief embrace relief,amidst grief embrace relief
Beneath my dreams and wishes,Nightwish,1996,Nightwish,2,beneath my dreams and wishes,beneath dreams wishes,beneath dream wish
I long for thy caresses.,Nightwish,1996,Nightwish,2,i long for thy caresses,long thy caresses,long thy caress
"The bridal bed awaits us both,",Nightwish,1996,Nightwish,2,the bridal bed awaits us both,bridal bed awaits,bridal bed await
After the landscape of death I have crossed.,Nightwish,1996,Nightwish,2,after the landscape of death i have crossed,landscape death crossed,landscape death cross
"Before my sorrows I must die,",Nightwish,1996,Nightwish,2,before my sorrows i must die,sorrows die,sorrow die
Nightwish I send through the starlit sky.,Nightwish,1996,Nightwish,2,nightwish i send through the starlit sky,nightwish send starlit sky,nightwish send starlit sky
"""Passed away in silence",Nightwish,1996,Nightwish,2,passed away in silence,passed away silence,pass away silence
The flute from the realm unseen,Nightwish,1996,Nightwish,2,the flute from the realm unseen,flute realm unseen,flute realm unseen
Empties its heart,Nightwish,1996,Nightwish,2,empties its heart,empties heart,empty heart
Making love to me,Nightwish,1996,Nightwish,2,making love to me,making love,make love
With its enchanting melody.,Nightwish,1996,Nightwish,2,with its enchanting melody,enchanting melody,enchanting melody
"Light of Orion,",Nightwish,1996,Nightwish,2,light of orion,light orion,light orion
"Shadow of Andromeda,",Nightwish,1996,Nightwish,2,shadow of andromeda,shadow andromeda,shadow andromeda
Call of the dancing Universe.,Nightwish,1996,Nightwish,2,call of the dancing universe,dancing universe,dance universe
The labyrinth I must enter,Nightwish,1996,Nightwish,2,the labyrinth i must enter,labyrinth enter,labyrinth enter
Before thou can blame my soul,Nightwish,1996,Nightwish,2,before thou can blame my soul,thou blame soul,thou blame soul
"With an age of peace""",Nightwish,1996,Nightwish,2,with an age of peace,age peace,age peace
The sheltering shade of the forest,Angels Fall First,1997,Elvenpath,1,the sheltering shade of the forest,sheltering shade forest,shelter shade forest
Calling come in silence,Angels Fall First,1997,Elvenpath,1,calling come in silence,calling come silence,call come silence
Accompanied only by the full moon,Angels Fall First,1997,Elvenpath,1,accompanied only by the full moon,accompanied moon,accompany moon
Howling of a night wolf,Angels Fall First,1997,Elvenpath,1,howling of a night wolf,howling night wolf,howl night wolf
And the path under my bare feet,Angels Fall First,1997,Elvenpath,1,and the path under my bare feet,path bare feet,path bare foot
The elvenpath,Angels Fall First,1997,Elvenpath,1,the elvenpath,elvenpath,elvenpath
Hearing music from the deepest forest,Angels Fall First,1997,Elvenpath,1,hearing music from the deepest forest,hearing music deepest forest,hear music deep forest
Songs as a seduction of sirens,Angels Fall First,1997,Elvenpath,1,songs as a seduction of sirens,songs seduction sirens,song seduction siren
The elf-folk is calling me,Angels Fall First,1997,Elvenpath,1,the elf folk is calling me,elf folk calling,elf folk call
"Tapio, Bearking, Ruler of the forest",Angels Fall First,1997,Elvenpath,1,tapie bearing ruler of the forest,tapie bearing ruler forest,tapie bearing ruler forest
"Mielikki, Bluecloak, Healer of the ill and sad",Angels Fall First,1997,Elvenpath,1,mielikki bluecoat healer of the ill and sad,mielikki bluecoat healer ill sad,mielikki bluecoat healer ill sad
Open the gate and let me follow the uncarven path,Angels Fall First,1997,Elvenpath,1,open the gate and let me follow the uncared path,open gate let follow uncared path,open gate let follow uncared path
The way to the lands,Angels Fall First,1997,Elvenpath,1,the way to the lands,way lands,way land
Where as a hero I stand,Angels Fall First,1997,Elvenpath,1,where as a hero i stand,hero stand,hero stand
The path where Beauty met the Beast,Angels Fall First,1997,Elvenpath,1,the path where beauty met the beast,path beauty met beast,path beauty meet beast
Elvenpath,Angels Fall First,1997,Elvenpath,1,elvenpath,elvenpath,elvenpath
It's the honesty of these worlds,Angels Fall First,1997,Elvenpath,1,it is the honesty of these worlds,honesty worlds,honesty world
Ruled by magic and mighty swords,Angels Fall First,1997,Elvenpath,1,ruled by magic and mighty swords,ruled magic mighty swords,rule magic mighty sword
That makes my soul long for the past,Angels Fall First,1997,Elvenpath,1,that makes my soul long for the past,makes soul long past,make soul long past
Elvenpath,Angels Fall First,1997,Elvenpath,1,elvenpath,elvenpath,elvenpath
The moon witch took me to a ride on a broomstick,Angels Fall First,1997,Elvenpath,1,the moon witch took me to a ride on a broomstick,moon witch took ride broomstick,moon witch take ride broomstick
Introduced me to her old friend Home Gnome,Angels Fall First,1997,Elvenpath,1,introduced me to her old friend home gnome,introduced old friend home gnome,introduce old friend home gnome
Told me to keep the sauna warm for him,Angels Fall First,1997,Elvenpath,1,told me to keep the sauna warm for him,told sauna warm,tell sauna warm
At the grove I met the rest—the folk of my fantasies,Angels Fall First,1997,Elvenpath,1,at the grove i met the rest  the folk of my fantasies,grove met rest   folk fantasies,grove meet rest    folk fantasy
"Bilbo, Sparhawk, goblins and pixies,",Angels Fall First,1997,Elvenpath,1,bilbo spartak goblins and pixies,bilbo spartak goblins pixies,bilbo spartak goblin pixie
"Snowman, Willow, trolls and the seven dwarfs",Angels Fall First,1997,Elvenpath,1,snowman willow trolls and the seven dwarfs,snowman willow trolls seven dwarfs,snowman willow trolls seven dwarf
The path goes forever on,Angels Fall First,1997,Elvenpath,1,the path goes forever on,path goes forever,path go forever
"Long ago,",Angels Fall First,1997,Elvenpath,1,long ago,long ago,long ago
"In the early years of the second age,",Angels Fall First,1997,Elvenpath,1,in the early years of the second age,early years second age,early year second age
The great elven-smiths forged the Rings of Power.,Angels Fall First,1997,Elvenpath,1,the great elven smiths forged the rings of power,great elven smiths forged rings power,great elven smith forge ring power
As I return to my room,Angels Fall First,1997,Elvenpath,1,as i return to my room,return room,return room
And as sleep takes me by my hand,Angels Fall First,1997,Elvenpath,1,and as sleep takes me by my hand,sleep takes hand,sleep take hand
Madrigals from the woods,Angels Fall First,1997,Elvenpath,1,madrigals from the woods,madrigals woods,madrigals woods
Carry me to neverland,Angels Fall First,1997,Elvenpath,1,carry me to neverland,carry neverland,carry neverland
In this spellbound night,Angels Fall First,1997,Elvenpath,1,in this spellbound night,spellbound night,spellbound night
